,Unnamed: 0,Word,Count
2235,2235,fisik,72
1411,1411,airlanga,72
1695,1695,graha,72
661,661,pekan,72
6291,6291,diy,72
3475,3475,metode,72
1342,1342,hancur,72
1204,1204,ph,72
2289,2289,tren,72
2354,2354,youtube,72
2292,2292,sungai,72
3511,3511,covid2019,71
4145,4145,oknum,71
2766,2766,halaman,71
807,807,tuhan,71
7726,7726,bebal,71
4842,4842,fiskal,71
3335,3335,450,71
3231,3231,aduh,71
748,748,akan,71
4961,4961,disinfektan,71
2747,2747,galang,71
6275,6275,md,70
1362,1362,rajin,70
2772,2772,vietnam,70
1536,1536,tolol,70
1112,1112,terus,70
791,791,bohong,70
2749,2749,serentak,70
295,295,puasa,70
3448,3448,faktor,70
3225,3225,muhamadiyah,70
4332,4332,rebak,70
2653,2653,manajemen,70
312,312,dekat,69
1409,1409,kordinator,69
2139,2139,omong,69
441,441,me,69
369,369,foto,69
2894,2894,gunung,69
729,729,sah,68
1099,1099,konsep,68
816,816,musim,68
1694,1694,akumulatif,68
2399,2399,mak,68
1414,1414,90,68
6614,6614,gagap,68
2056,2056,ganjarpranowo,67
1660,1660,medan,67
1046,1046,omnibus,67
654,654,bengkulu,67
4539,4539,level,67
3942,3942,minimal,67
1454,1454,pinjam,66
4652,4652,taucepatanpabatas,66
4320,4320,investasi,66
3259,3259,polricegahcorona,66
1337,1337,digital,66
2787,2787,siswa,66
795,795,ojek,66
1820,1820,plin,66
1605,1605,asli,66
4264,4264,kian,66
2291,2291,lantas,66
2128,2128,perangkat,66
531,531,on,65
3577,3577,signifikan,65
1942,1942,balai,65
2030,2030,mitigasi,65
2660,2660,34,65
1920,1920,stres,65
8047,8047,dalam,65
3234,3234,do,65
746,746,tarik,65
2798,2798,bos,65
29568,29568,kalung,65
3204,3204,bi,65
406,406,wa,65
2879,2879,kembali,64
5296,5296,malas,64
4138,4138,amat,64
1401,1401,kereta,64
738,738,laut,64
3372,3372,daring,64
4029,4029,santri,64
3186,3186,cabang,64
224,224,kompak,64
2832,2832,tembus,64
299,299,tegal,64
4600,4600,ansor,63
1453,1453,partisipasi,63
3442,3442,ragu,63
4494,4494,puruk,63
992,992,palang,63
2041,2041,life,63
