,Word,Count
519,as,112
520,representation,1
521,of,140
522,gnment,13
523,anounced,1
524,that,21
525,urgent,20
526,status,172
527,wil,17
528,be,33
529,evaluated,1
530,later,1
531,on,65
532,29th,1
533,deteksi,129
534,unduh,49
535,menginstal,2
536,aplikasi,101
537,pedulilindungi,28
538,bersatulawancovid19,129
539,pemkotbekasi,4
540,kominfobekasi,2
541,radiodakta,1
542,radarbekasi,1
543,infobekasi,1
544,kelola,203
545,aceh,632
546,jogobumiproklamator,3
547,polresblitarkota,5
548,humaspolresblitarkota,4
549,zonaintegritas,4
550,polisipromoter,7
551,divisihumaspolri,146
552,humaspoldajatim,13
553,inspektur,33
554,ingris,104
555,40,89
556,apd,183
557,pes,3
558,turki,14
559,bulan,82
560,sesuai,865
561,standar,84
562,layak,57
563,simpan,16
564,gudang,8
565,london,3
566,sulawesi,144
567,tengara,79
568,sultra,27
569,target,193
570,20,476
571,0,657
572,17,111
573,bagi,536
574,ft,3
575,indonesyah,1
576,holbota,1
577,taliabu,2
578,barat,672
579,pul,1
580,tab,3
581,malu,108
582,malut,9
583,langsung,858
584,tunai,586
585,malang,180
586,timur,1042
587,rapid,469
588,budi,30
589,transportasi,202
590,toko,89
591,coba,402
592,renung,8
593,keluar,563
594,regulasi,86
595,memdatangkan,1
596,sekolah,527
597,pasar,637
598,sus,3
599,kaji,175
600,antisipasi,389
601,pasca,159
602,aneh,160
603,presiden,963
604,brasil,14
605,jair,1
606,bolsonaro,3
607,otavio,1
608,rego,1
609,baros,1
610,idap,5
611,umum,519
612,jarak,483
613,digembar,3
614,gembor,17
615,zonarequestmalam,13
616,mgtradio,12
617,ujung,170
618,duit,255
619,kalimat,15
620,grand,13
621,design,11
622,pandemik,302
623,implikasi,10
624,sifat,50
625,relatif,25
626,ukur,54
627,capai,390
628,dorong,224
629,bentuk,514
630,deputi,9
631,hapy,13
632,vesakh,1
633,day,100
634,hubung,692
635,tamu,15
636,jalan,1580
637,teori,73
638,bersih,228
639,liar,47
640,ria,13
641,lapar,119
642,rusak,46
643,panjang,313
644,fgd,3
645,akuntansi,1
646,halang,28
647,aktivitas,547
648,rabu,264
649,tangal,420
650,kanwil,3
651,direktorat,34
652,jenderal,134
653,bendahara,7
654,bengkulu,67
655,laksana,2015
656,grup,51
657,bundesliga,6
658,ligajerman,1
659,jadwal,42
660,resmi,367
661,pekan,72
662,26,109
663,kompetisi,30
664,gelar,286
665,5,995
666,jerman,32
667,izin,275
668,paruh,12
669,tentu,294
670,pulih,851
671,kes,154
672,12,295
673,76,24
674,930,6
675,jurucakap,31
676,achmad,840
677,yurianto,846
678,35,34
679,tempoh,29
680,24,160
681,jam,216
682,gubernur,357
683,baswedan,39
684,engan,15
685,prediksi,136
686,walahualam,3
687,beliau,84
688,nama,218
689,inkonsistensi,21
690,darurat,226
691,moda,56
692,kaco,2
693,nilai,450
694,tenaga,832
695,asing,245
696,bela,101
697,modus,13
698,nekat,196
699,umpet,4
700,truk,10
701,molen,1
702,okezone,4
703,pakar,104
704,berani,112
705,lawan,1192
706,mangtaf,1
707,era,195
708,kencing,6
709,adab,11
710,k,118
711,bencana,187
712,nas,3
713,korup,18
714,dead,2
715,penalti,1
716,percayaken,1
717,bijaksana,30
718,mengerahken,1
719,segenap,31
720,bangsa,343
721,ketenagakerjan,56
722,consultant,1
723,at,241
724,law,91
725,iclaw,1
726,hasar,1
727,dharmabumi,1
728,lapang,201
729,sah,68
730,rancang,457
731,cipta,140
732,ciptaker,13
733,mohon,290
734,koreksi,20
735,menghentikn,1
736,larut,21
737,darat,25
738,laut,64
739,udara,44
740,kcuali,1
741,logistik,34
742,abdi,13
743,pjabat,3
744,tugasmntara,1
745,online,314
746,tarik,65
747,ulur,20
748,akan,71
749,budikaryas,5
750,indonesiamelawancovid19,138
751,tidakusahmudik,1
752,dirumahsaja,121
753,harap,747
754,selesai,579
755,was,18
756,hambat,80
757,klinik,16
758,cantik,19
759,estie,1
760,layan,398
761,konsultasi,25
762,whatsap,23
763,gratis,308
764,catat,324
765,senin,314
766,4,532
767,78,14
768,total,393
769,954,16
770,itumbok,1
771,lakuakn,1
772,seluruhabdi,1
773,mana,367
774,acara,87
775,bawa,212
776,kembang,602
777,7,353
778,38,24
779,381,4
780,64,32
781,dunia,686
782,dengerinelshintadirumahaja,116
783,tahu,131
784,amies,3
785,ngebacrot,1
786,juta,407
787,rutin,85
788,rentan,109
789,imbas,117
790,jebulnya,1
791,bohong,70
792,angkat,83
793,kutoarjo,1
794,purworejo,25
795,ojek,66
796,rewang,1
797,mudiktetapdilarang,46
798,disiplin,660
799,juni,682
800,kurva,230
801,agustus,38
802,sediakala,9
803,skrinews,9
804,gereja,44
805,kingmi,1
806,tentara,394
807,tuhan,71
808,negativ,2
809,istimewa,35
810,yogyakarta,83
811,konfirmasi,231
812,15,277
813,sarana,49
814,sobat,336
815,tanjungemas,1
816,musim,68
817,tidakmudik,36
818,tidakpiknik,5
819,sayang,302
820,bersatucekalcovid19,4
821,peta,92
822,waspadacovid19,11
823,khofifahip,43
824,emildardak,13
825,jatimcetar,17
826,kemenkesri,127
827,dinkesjatim,6
828,rt,81
829,temu,359
830,vaksin,515
831,skala,274
832,selatan,328
833,bal,274
834,covid19,900
835,botak,2
836,kutil,1
837,beres,74
838,melaksakana,1
839,kisruh,10
840,rusuh,19
841,mandiri,162
842,gerak,238
843,pelbagai,3
844,rem,13
845,laju,108
846,sebab,215
847,tanga,48
848,kritik,308
849,blunder,44
850,strategi,232
851,kerah,36
852,buzer,62
853,kaca,27
854,media,476
855,hujat,45
856,tidak,59
857,puas,84
858,janji,170
859,awasprovokasisatpandemi,27
860,kebijakan2,26
861,ambil,577
862,kecuali,107
863,malam,346
864,kak,106
865,novi,1
866,sinyal,17
867,tsel,9
868,layar,22
869,ponsel,9
870,telkomsel,17
871,spesial,18
872,ubah,454
873,kualitas,48
874,usaha,2224
875,sbelumnya,2
876,harusnya,2
877,angap,345
878,remeh,96
879,keblinger,2
880,simpul,43
881,cari,399
882,hindar,366
883,klub,14
884,hemat,16
885,tahun,161
886,belanda,10
887,september,46
888,hadir,205
889,landak,11
890,serta,191
891,jajar,174
892,aparatur,172
893,sipil,260
894,raya,388
895,tri,21
896,suci,37
897,2564,5
898,landakupdate,1
899,bupatilandak,1
900,landakhebat,1
901,pemkablandak,1
902,waisak2564,1
903,lembaga,252
904,swasta,187
905,giat,1426
906,fungsi,80
907,surabaya,363
908,surat,529
909,semangat,310
910,angar,1032
911,belanja,476
912,ra,49
913,iya,491
914,wes,1
915,mdh2,2
916,hati,411
917,informasi,439
918,risiko,266
919,masker,1336
920,jaga,1291
921,bisa,58
922,angur,101
923,mikro,509
924,tengah,1090
925,tumbuh,143
926,informal,21
927,peran,257
928,ril,23
929,kambing,26
930,hitam,47
931,ketua,497
932,wiku,46
933,adisasmito,38
934,godok,10
935,sepakat,83
936,papua,263
937,kendali,472
938,tangulang,751
939,either,4
940,gaji,166
941,pegawai,146
942,csrnya,1
943,penangana,7
944,doni,61
945,prinsip,38
946,arus,44
947,prioritas,211
948,gerah,6
949,jabat,195
950,agenda,80
951,maf,288
952,abu,30
953,kecewa,126
954,pimpin,298
955,sempurna,47
956,kebas,1
957,minoritas,4
958,ketemu,36
959,masif,119
960,genetika,1
961,alami,180
962,kebal,81
963,perang,120
964,dok,45
965,tungu,278
966,ulah,30
967,elite,56
968,global,174
969,coreksi,1
970,atensi,10
971,dewan,915
972,wakil,1192
973,sumenep,19
974,pasal,75
975,post,36
976,stimulus,266
977,edukasi,189
978,makmur,33
979,masjid,242
980,jajawar,2
981,banjar,26
982,tribina,2
983,tempat,138
984,ar,1
985,rohman,1
986,dusun,60
987,jambi,75
988,phisical,19
989,distancing,343
990,bangli,91
991,teman,367
992,palang,63
993,merah,216
994,semangateman,1
995,pulang,195
996,astungkara,4
997,april,122
998,hak,186
999,60rb,10
1000,kenyatanya,38
1001,dagang,400
1002,a,290
1003,suparmanto,34
1004,panic,12
1005,buying,7
1006,pemda2,3
1007,sedia,321
1008,bapok,5
1009,stabil,51
1010,deh,255
1011,selasa,296
1012,l,46
1013,badan,993
1014,kordinatif,3
1015,guna,277
1016,rupiah,459
1017,405,36
1018,t,174
1019,kewalahan,42
1020,lebak,16
1021,banten,46
1022,lebaran,440
1023,zona,296
1024,mandau,38
1025,fren,2
1026,jatam,1
1027,jaring,138
1028,akar,19
1029,rumput,7
1030,operasi,192
1031,tambang,19
1032,acu,48
1033,13,209
1034,ayat,15
1035,huruf,5
1036,minerba,43
1037,no,209
1038,209,13
1039,beku,1
1040,ekonom,24
1041,universitas,104
1042,negeri,624
1043,padjadjaran,5
1044,aldrin,1
1045,herwany,1
1046,omnibus,67
1047,pascakrisis,1
1048,isu,251
1049,nista,2
1050,ramai,337
1051,bincang,19
1052,sidomukti,1
1053,kepohbaru,1
1054,razia,14
1055,knpisu,1
1056,goreng,26
1057,sejahtera,192
1058,mas,220
1059,tragedi,5
1060,nonstop,1
1061,televisi,88
1062,keras,277
1063,nafkah,31
1064,tuguinsurance,4
1065,reachingnewheights,4
1066,beranilebihbaik,4
1067,indonesialawancovid19,6
1068,nurani,15
1069,kirim,117
1070,chinakan,1
1071,wajar,80
1072,demo,184
1073,sanksi,84
1074,nusantara,49
1075,kompas,161
1076,sinergi,183
1077,bahan,212
1078,pokok,106
1079,pringsewu,62
1080,makhluk,15
1081,ketemudi,1
1082,tema,85
1083,pasti,169
1084,insyalah,40
1085,tani,153
1086,narasumber,15
1087,kredibel,9
1088,sila,132
1089,juang,458
1090,gali,9
1091,makam,83
1092,bhaktimu,1
1093,pahlawan,57
1094,potensi,152
1095,negatif,144
1096,istri,44
1097,takut,395
1098,labil,29
1099,konsep,68
1100,pulkam,17
1101,timeframe,1
1102,harfiah,1
1103,najwa,11
1104,praktikal,1
1105,kerangka,5
1106,apa,259
1107,buat,134
1108,ns,2
1109,tendensius,2
1110,joko,207
1111,widodo,197
1112,terus,70
1113,puncak,101
1114,berdamaidgncorona,10
1115,jagajarak,93
1116,kerumun,245
1117,bertamba,1
1118,narasi,93
1119,imbau,657
1120,temanfutuready,1
1121,06,192
1122,penandatangan,2
1123,jaksa,41
1124,hukum,336
1125,refocusing,48
1126,alokasi,222
1127,bngklu,1
1128,alias,87
1129,repost,196
1130,pemkotcilegon,1
1131,cilegon,24
1132,serah,529
1133,diskominfo,52
1134,tahap,311
1135,solok,19
1136,pemcegahan,1
1137,etek,1
1138,ela,2
1139,sawah,22
1140,kareh,1
1141,balun,1
1142,kpgd,1
1143,hermanderu1967,2
1144,payu,1
1145,dulur,5
1146,mendep,1
1147,ikutilan,1
1148,atambua,1
1149,belu,4
1150,infeksi,207
1151,gejala,95
1152,mbakyu,2
1153,otg,50
1154,stay,201
1155,home,157
1156,physical,160
1157,stakeholder,14
1158,kotasubang,1
1159,pemkabsubang,1
1160,brperan,1
1161,arah,401
